"Datetime","DP_T","DP1","DP2","DP3","DP4","P_A","T_T","T1","T2","T3","T4","T_A"
"2017-12-13 18:35:49","-368.40","-252.67","-136.94","-368.40","-252.67","-36591.92","-273.15","21.36","21.68","-273.15","21.90","22.62"
"2017-12-13 18:35:54","-484.13","-368.40","-252.67","-252.67","-252.67","-36707.66","-273.15","21.37","21.72","-273.15","21.95","22.61"
"2017-12-13 18:35:59","-252.67","-252.67","-252.67","-252.67","-484.13","-36591.92","-273.15","21.38","21.71","-273.15","21.97","22.61"
"2017-12-13 18:36:04","-252.67","-368.40","-368.40","-136.94","-136.94","-36591.92","-273.15","21.41","21.71","-273.15","21.93","22.65"
"2017-12-13 18:36:09","-368.40","-368.40","-252.67","-21.21","-484.13","-36591.92","-273.15","21.41","21.73","-273.15","21.89","22.68"
"2017-12-13 18:36:14","-252.67","-252.67","-368.40","-252.67","-368.40","-36476.20","-273.15","21.42","21.72","-273.15","21.89","22.70"
"2017-12-13 18:36:19","-252.67","-368.40","-252.67","-136.94","-484.13","-36476.20","-273.15","21.37","21.70","-273.15","21.86","22.71"
"2017-12-13 18:36:24","-136.94","-368.40","-252.67","-136.94","-484.13","-36591.92","-273.15","21.37","21.69","-273.15","21.90","22.64"
"2017-12-13 18:36:29","-136.94","-368.40","-136.94","-252.67","-368.40","-36591.92","-273.15","21.39","21.69","-273.15","21.90","22.72"
"2017-12-13 18:36:34","-252.67","-136.94","-484.13","-21.21","-368.40","-36591.92","-273.15","21.41","21.71","-273.15","21.94","22.80"
"2017-12-13 18:36:39","-368.40","-368.40","-252.67","-21.21","-368.40","-36591.92","-273.15","21.39","21.71","-273.15","21.99","22.76"
"2017-12-13 18:36:44","-368.40","-252.67","-368.40","-252.67","-484.13","-36591.92","-273.15","21.42","21.69","-273.15","22.03","22.65"
"2017-12-13 18:36:49","-252.67","-252.67","-136.94","-21.21","-484.13","-36591.92","-273.15","21.42","21.70","-273.15","21.99","22.64"
"2017-12-13 18:36:54","-252.67","-368.40","-136.94","-136.94","-368.40","-36707.66","-273.15","21.42","21.71","-273.15","22.00","22.69"
"2017-12-13 18:36:59","-252.67","-252.67","-252.67","-252.67","-368.40","-36591.92","-273.15","21.39","21.66","-273.15","21.99","22.67"
