"Date"	"Time"	"Temp1"	"Temp2"	"Temp3"	"Temp4"	"TempExt"
"12/12/2017"	"11:39:20"	"23.81"	"24.62"	"24.87"	"24.81"	"-273.15"
"12/12/2017"	"11:40:16"	"23.86"	"24.64"	"24.68"	"24.63"	"-273.15"
