"Date"	"Time"	"Temp1"	"Temp2"	"Temp3"	"Temp4"	"TempExt"
"08/12/2017"	"10:37:38"	"24.62"	"24.71"	"24.86"	"25.34"	"-273.15"
"08/12/2017"	"10:37:43"	"24.75"	"24.66"	"24.69"	"24.86"	"-273.15"
"08/12/2017"	"10:37:49"	"24.53"	"24.72"	"24.61"	"25.68"	"-273.15"
"08/12/2017"	"10:37:55"	"24.78"	"24.81"	"25.91"	"24.64"	"-273.15"
"08/12/2017"	"10:38:00"	"24.64"	"24.85"	"25.02"	"24.66"	"-273.15"
"08/12/2017"	"10:38:06"	"24.87"	"25.07"	"24.67"	"25.38"	"-273.15"
"08/12/2017"	"10:38:11"	"24.63"	"24.32"	"24.84"	"24.81"	"-273.15"
"08/12/2017"	"10:38:17"	"24.64"	"24.67"	"24.8"	"24.87"	"-273.15"
"08/12/2017"	"10:38:22"	"24.87"	"25.36"	"24.24"	"24.31"	"-273.15"
"08/12/2017"	"10:38:28"	"24.25"	"24.7"	"24.74"	"25.07"	"-273.15"
"08/12/2017"	"10:38:33"	"24.65"	"24.79"	"24.86"	"25.18"	"-273.15"
"08/12/2017"	"10:38:39"	"24.69"	"24.97"	"25.31"	"24.89"	"-273.15"
"08/12/2017"	"10:38:44"	"24.86"	"24.95"	"24.74"	"24.12"	"-273.15"
"08/12/2017"	"10:38:50"	"24.76"	"24.32"	"24.89"	"24.76"	"-273.15"
"08/12/2017"	"10:38:56"	"24.68"	"25.02"	"24.82"	"24.59"	"-273.15"
"08/12/2017"	"10:39:01"	"24.48"	"24.64"	"24.41"	"23.41"	"-273.15"
"08/12/2017"	"10:39:07"	"24.71"	"24.76"	"24.96"	"24.59"	"-273.15"
"08/12/2017"	"10:39:12"	"24.64"	"24.75"	"23.84"	"24.7"	"-273.15"
"08/12/2017"	"10:39:18"	"24.79"	"24.91"	"24.82"	"25.08"	"-273.15"
"08/12/2017"	"10:39:23"	"24.71"	"24.87"	"24.2"	"25.13"	"-273.15"
