"Date"	"Time"	"Temp1"	"Temp2"	"Temp3"	"Temp4"	"TempExt"
"08/12/2017"	"10:36:51"	"24.76"	"24.89"	"24.42"	"24.75"	"-273.15"
"08/12/2017"	"10:36:56"	"24.83"	"25.18"	"24.94"	"24.2"	"-273.15"
