"Date"	"Time"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"
"08/12/2017"	"09:24:07"	"98.89240506329115"	"101.46103896103897"	"96.4506172839506"	"98.89240506329115"	"0.0005742414646953775"
"08/12/2017"	"09:24:12"	"102.79605263157895"	"101.46103896103897"	"100.16025641025641"	"100.16025641025641"	"0.0011448214943038078"
"08/12/2017"	"09:24:18"	"102.79605263157895"	"100.16025641025641"	"96.4506172839506"	"100.16025641025641"	"0.0011411902486480091"
"08/12/2017"	"09:24:23"	"101.46103896103897"	"100.16025641025641"	"98.89240506329115"	"101.46103896103897"	"0"
"08/12/2017"	"09:24:29"	"101.46103896103897"	"100.16025641025641"	"98.89240506329115"	"100.16025641025641"	"0"
"08/12/2017"	"09:24:34"	"101.46103896103897"	"97.65624999999999"	"98.89240506329115"	"100.16025641025641"	"0"
"08/12/2017"	"09:24:40"	"104.16666666666667"	"98.89240506329115"	"98.89240506329115"	"100.16025641025641"	"0"
"08/12/2017"	"09:24:45"	"104.16666666666667"	"101.46103896103897"	"98.89240506329115"	"98.89240506329115"	"0"
"08/12/2017"	"09:24:51"	"102.79605263157895"	"101.46103896103897"	"101.46103896103897"	"98.89240506329115"	"0"
"08/12/2017"	"09:24:57"	"102.79605263157895"	"104.16666666666667"	"97.65624999999999"	"100.16025641025641"	"0"
"08/12/2017"	"09:25:02"	"101.46103896103897"	"101.46103896103897"	"97.65624999999999"	"98.89240506329115"	"0"
"08/12/2017"	"09:25:08"	"102.79605263157895"	"102.79605263157895"	"101.46103896103897"	"97.65624999999999"	"0"
"08/12/2017"	"09:25:13"	"102.79605263157895"	"101.46103896103897"	"96.4506172839506"	"100.16025641025641"	"0"
"08/12/2017"	"09:25:19"	"101.46103896103897"	"97.65624999999999"	"96.4506172839506"	"98.89240506329115"	"0.0011027349520612005"
"08/12/2017"	"09:25:24"	"100.16025641025641"	"96.4506172839506"	"98.89240506329115"	"98.89240506329115"	"0.0010993639238644924"
"08/12/2017"	"09:25:30"	"97.65624999999999"	"100.16025641025641"	"96.4506172839506"	"100.16025641025641"	"0.0005480054530488217"
"08/12/2017"	"09:25:35"	"97.65624999999999"	"101.46103896103897"	"100.16025641025641"	"100.16025641025641"	"0.0005463400565969836"
"08/12/2017"	"09:25:41"	"102.79605263157895"	"100.16025641025641"	"100.16025641025641"	"100.16025641025641"	"0.0005446837264747177"
"08/12/2017"	"09:25:47"	"104.16666666666667"	"130.20833333333334"	"101.46103896103897"	"98.89240506329115"	"0.0005430386922974905"
"08/12/2017"	"09:25:52"	"128.0737704918033"	"101.46103896103897"	"98.89240506329115"	"98.89240506329115"	"0.0010828049533908772"
"08/12/2017"	"09:25:58"	"110.03521126760563"	"98.89240506329115"	"97.65624999999999"	"98.89240506329115"	"0.0010795530781530101"
"08/12/2017"	"09:26:03"	"98.89240506329115"	"98.89240506329115"	"98.89240506329115"	"98.89240506329115"	"0"
"08/12/2017"	"09:26:09"	"100.16025641025641"	"100.16025641025641"	"100.16025641025641"	"100.16025641025641"	"0.0010731131751513005"
"08/12/2017"	"09:26:14"	"104.16666666666667"	"102.79605263157895"	"101.46103896103897"	"98.89240506329115"	"0.0010699227560278933"
"08/12/2017"	"09:26:20"	"107.02054794520548"	"101.46103896103897"	"100.16025641025641"	"101.46103896103897"	"0.0005333718020989554"
"08/12/2017"	"09:26:26"	"104.16666666666667"	"100.16025641025641"	"107.02054794520548"	"100.16025641025641"	"0.0005317939614072442"
"08/12/2017"	"09:26:31"	"104.16666666666667"	"101.46103896103897"	"98.89240506329115"	"100.16025641025641"	"0.0005302258962531336"
"08/12/2017"	"09:26:37"	"108.50694444444444"	"100.16025641025641"	"96.4506172839506"	"100.16025641025641"	"0.0005286668007873194"
"08/12/2017"	"09:26:42"	"101.46103896103897"	"101.46103896103897"	"100.16025641025641"	"104.16666666666667"	"0.000527114748950679"
"08/12/2017"	"09:26:48"	"101.46103896103897"	"101.46103896103897"	"100.16025641025641"	"97.65624999999999"	"0.0005255733391260206"
"08/12/2017"	"09:26:53"	"101.46103896103897"	"101.46103896103897"	"97.65624999999999"	"100.16025641025641"	"0.0005240422536694529"
"08/12/2017"	"09:26:59"	"97.65624999999999"	"100.16025641025641"	"100.16025641025641"	"101.46103896103897"	"0.0010450386580700393"
"08/12/2017"	"09:27:04"	"102.79605263157895"	"100.16025641025641"	"98.89240506329115"	"102.79605263157895"	"0.0010420058743122844"
"08/12/2017"	"09:27:10"	"104.16666666666667"	"100.16025641025641"	"97.65624999999999"	"100.16025641025641"	"0"
"08/12/2017"	"09:27:16"	"101.46103896103897"	"97.65624999999999"	"102.79605263157895"	"100.16025641025641"	"0"
"08/12/2017"	"09:27:21"	"101.46103896103897"	"98.89240506329115"	"97.65624999999999"	"101.46103896103897"	"0"
"08/12/2017"	"09:27:27"	"98.89240506329115"	"98.89240506329115"	"97.65624999999999"	"102.79605263157895"	"0"
"08/12/2017"	"09:27:32"	"96.4506172839506"	"97.65624999999999"	"97.65624999999999"	"102.79605263157895"	"0.0010271379374925595"
"08/12/2017"	"09:27:38"	"101.46103896103897"	"97.65624999999999"	"101.46103896103897"	"101.46103896103897"	"0.0010242129849099505"
"08/12/2017"	"09:27:43"	"98.89240506329115"	"100.16025641025641"	"100.16025641025641"	"100.16025641025641"	"0.000510651721015588"
"08/12/2017"	"09:27:49"	"102.79605263157895"	"100.16025641025641"	"101.46103896103897"	"101.46103896103897"	"0.0005092042953704286"
