"Date"	"Time"	"Temp1"	"Temp2"	"Temp3"	"Temp4"	"TempExt"
"07/12/2017"	"12:30:30"	"24.71"	"24.8"	"24.61"	"25.09"	"-273.15"
"07/12/2017"	"12:30:36"	"24.71"	"24.98"	"24.88"	"25.25"	"-273.15"
"07/12/2017"	"12:30:41"	"24.77"	"24.93"	"25.83"	"24.94"	"-273.15"
"07/12/2017"	"12:30:47"	"24.71"	"24.86"	"25.65"	"25.25"	"-273.15"
"07/12/2017"	"12:30:53"	"24.45"	"24.88"	"24.56"	"24.94"	"-273.15"
"07/12/2017"	"12:30:58"	"24.58"	"24.73"	"24.85"	"24.94"	"-273.15"
"07/12/2017"	"12:31:04"	"24.6"	"25.19"	"25.07"	"24.67"	"-273.15"
