"Date"	"Time"	"Temp1"	"Temp2"	"Temp3"	"Temp4"	"TempExt"
"08/12/2017"	"09:54:35"	"24.64"	"24.65"	"25.04"	"25.02"	"-273.15"
"08/12/2017"	"09:55:25"	"24.8"	"24.82"	"24.65"	"25.12"	"-273.15"
"08/12/2017"	"09:56:16"	"24.77"	"25.12"	"24.66"	"24.42"	"-273.15"
"08/12/2017"	"09:57:06"	"24.8"	"24.65"	"25.46"	"25.13"	"-273.15"
"08/12/2017"	"09:57:57"	"24.82"	"24.59"	"24.59"	"24.78"	"-273.15"
"08/12/2017"	"09:58:48"	"24.55"	"24.94"	"24.69"	"24.32"	"-273.15"
"08/12/2017"	"09:59:38"	"24.64"	"24.69"	"24.98"	"24.91"	"-273.15"
"08/12/2017"	"10:00:29"	"24.79"	"24.98"	"24.86"	"24.95"	"-273.15"
"08/12/2017"	"10:01:19"	"24.76"	"24.74"	"24.43"	"24.57"	"-273.15"
"08/12/2017"	"10:02:10"	"24.52"	"24.99"	"24.51"	"25.04"	"-273.15"
"08/12/2017"	"10:03:00"	"24.68"	"24.65"	"25.01"	"25.1"	"-273.15"
"08/12/2017"	"10:03:51"	"24.8"	"24.53"	"25.04"	"24.7"	"-273.15"
"08/12/2017"	"10:04:42"	"24.71"	"24.59"	"24.91"	"25.47"	"-273.15"
"08/12/2017"	"10:05:32"	"24.61"	"24.92"	"24.46"	"25.26"	"-273.15"
"08/12/2017"	"10:06:23"	"25.3"	"24.69"	"25.14"	"25.23"	"-273.15"
"08/12/2017"	"10:07:13"	"24.88"	"24.83"	"25.57"	"24.47"	"-273.15"
"08/12/2017"	"10:08:04"	"24.72"	"24.58"	"24.95"	"24.85"	"-273.15"
"08/12/2017"	"10:08:54"	"24.65"	"24.63"	"25.19"	"25.01"	"-273.15"
"08/12/2017"	"10:09:45"	"24.6"	"24.65"	"24.75"	"25.03"	"-273.15"
"08/12/2017"	"10:10:36"	"24.75"	"24.81"	"24.9"	"24.41"	"-273.15"
"08/12/2017"	"10:11:26"	"24.72"	"24.89"	"25.02"	"24.99"	"-273.15"
"08/12/2017"	"10:12:17"	"24.71"	"24.4"	"24.79"	"24.62"	"-273.15"
"08/12/2017"	"10:13:07"	"24.79"	"23.68"	"25.0"	"25.05"	"-273.15"
"08/12/2017"	"10:13:58"	"24.71"	"24.7"	"25.14"	"24.78"	"-273.15"
"08/12/2017"	"10:14:48"	"24.64"	"24.79"	"24.32"	"25.28"	"-273.15"
"08/12/2017"	"10:15:39"	"24.76"	"24.73"	"25.99"	"24.5"	"-273.15"
"08/12/2017"	"10:16:30"	"24.82"	"24.96"	"24.43"	"24.36"	"-273.15"
"08/12/2017"	"10:17:20"	"24.84"	"24.85"	"24.23"	"24.76"	"-273.15"
"08/12/2017"	"10:18:11"	"24.79"	"24.82"	"24.9"	"24.14"	"-273.15"
"08/12/2017"	"10:19:01"	"24.71"	"24.43"	"24.42"	"24.22"	"-273.15"
"08/12/2017"	"10:19:52"	"24.55"	"24.82"	"24.89"	"24.8"	"-273.15"
"08/12/2017"	"10:20:42"	"24.19"	"24.93"	"25.07"	"25.08"	"-273.15"
"08/12/2017"	"10:21:33"	"24.62"	"23.72"	"25.15"	"24.49"	"-273.15"
"08/12/2017"	"10:22:24"	"24.62"	"24.71"	"24.72"	"24.14"	"-273.15"
"08/12/2017"	"10:23:14"	"24.87"	"24.9"	"24.77"	"24.69"	"-273.15"
"08/12/2017"	"10:24:05"	"24.84"	"24.2"	"23.29"	"25.04"	"-273.15"
"08/12/2017"	"10:24:55"	"24.63"	"24.9"	"25.06"	"25.15"	"-273.15"
"08/12/2017"	"10:25:46"	"24.83"	"23.9"	"24.8"	"25.08"	"-273.15"
"08/12/2017"	"10:26:36"	"24.84"	"24.41"	"24.73"	"24.41"	"-273.15"
"08/12/2017"	"10:27:27"	"24.65"	"24.66"	"24.98"	"24.36"	"-273.15"
"08/12/2017"	"10:28:18"	"24.68"	"25.0"	"24.92"	"24.55"	"-273.15"
"08/12/2017"	"10:29:08"	"24.7"	"24.72"	"24.58"	"24.89"	"-273.15"
"08/12/2017"	"10:29:59"	"24.45"	"25.08"	"24.53"	"25.07"	"-273.15"
"08/12/2017"	"10:30:49"	"24.61"	"24.69"	"25.04"	"24.81"	"-273.15"
"08/12/2017"	"10:31:40"	"24.86"	"24.59"	"24.87"	"24.87"	"-273.15"
"08/12/2017"	"10:32:30"	"24.79"	"24.88"	"24.99"	"25.09"	"-273.15"
"08/12/2017"	"10:33:21"	"24.72"	"25.02"	"24.76"	"24.99"	"-273.15"
