"Datetime","probe","T","Err"
"2017-12-13 17:13:34","1","0.7","0.46"
"2017-12-13 17:13:35","2","9.5","0.5"
"2017-12-13 17:13:36","3","0.3","0.46"
"2017-12-13 17:13:37","4","0.8","0.4"
"2017-12-13 17:13:38","5","0.2","0.4"
"2017-12-13 17:14:52","1","0.7","0.64"
"2017-12-13 17:14:53","2","9.6","0.49"
"2017-12-13 17:14:54","3","0.5","0.5"
"2017-12-13 17:14:55","4","0.5","0.5"
"2017-12-13 17:14:56","5","0.5","0.5"
"2017-12-13 17:16:10","1","0.6","0.66"
"2017-12-13 17:16:11","2","9.7","0.46"
"2017-12-13 17:16:12","3","0.6","0.49"
"2017-12-13 17:16:13","4","0.8","0.6"
"2017-12-13 17:16:14","5","0.7","0.46"
"2017-12-13 17:17:28","1","0.7","0.46"
"2017-12-13 17:17:29","2","9.4","0.49"
"2017-12-13 17:17:31","3","0.4","0.49"
"2017-12-13 17:17:32","4","0.4","0.49"
"2017-12-13 17:17:33","5","0.2","0.4"
"2017-12-13 17:18:47","1","0.6","0.49"
"2017-12-13 17:18:48","2","9.7","0.46"
"2017-12-13 17:18:49","3","0.9","0.3"
"2017-12-13 17:18:50","4","0.9","0.54"
"2017-12-13 17:18:51","5","0.8","0.4"
"2017-12-13 17:20:05","1","0.7","0.46"
"2017-12-13 17:20:06","2","9.7","0.46"
"2017-12-13 17:20:07","3","0.4","0.49"
"2017-12-13 17:20:08","4","0.9","0.54"
"2017-12-13 17:20:09","5","0.4","0.49"
"2017-12-13 17:21:23","1","0.6","0.49"
"2017-12-13 17:21:24","2","9.8","0.4"
"2017-12-13 17:21:25","3","0.7","0.46"
"2017-12-13 17:21:26","4","0.6","0.49"
"2017-12-13 17:21:27","5","0.3","0.46"
"2017-12-13 17:22:42","1","0.6","0.49"
"2017-12-13 17:22:43","2","9.8","0.4"
"2017-12-13 17:22:44","3","0.5","0.5"
"2017-12-13 17:22:45","4","0.5","0.5"
"2017-12-13 17:22:46","5","0.5","0.67"
"2017-12-13 17:24:00","1","0.6","0.49"
"2017-12-13 17:24:01","2","9.8","0.4"
"2017-12-13 17:24:02","3","0.8","0.4"
"2017-12-13 17:24:03","4","0.5","0.5"
"2017-12-13 17:24:04","5","0.4","0.49"
"2017-12-13 17:25:18","1","0.7","0.46"
"2017-12-13 17:25:19","2","9.8","0.4"
"2017-12-13 17:25:20","3","0.2","0.4"
"2017-12-13 17:25:21","4","0.7","0.46"
"2017-12-13 17:25:22","5","0.2","0.4"
"2017-12-13 17:26:37","1","0.6","0.49"
"2017-12-13 17:26:38","2","9.6","0.49"
"2017-12-13 17:26:39","3","0.3","0.46"
"2017-12-13 17:26:40","4","0.9","0.54"
"2017-12-13 17:26:41","5","0.2","0.4"
"2017-12-13 17:27:55","1","0.5","0.67"
"2017-12-13 17:27:56","2","9.4","0.49"
"2017-12-13 17:27:57","3","0.7","0.46"
"2017-12-13 17:27:58","4","0.9","0.54"
"2017-12-13 17:27:59","5","0.3","0.46"
"2017-12-13 17:29:13","1","0.5","0.5"
"2017-12-13 17:29:14","2","9.9","0.3"
"2017-12-13 17:29:15","3","0.5","0.5"
"2017-12-13 17:29:16","4","0.6","0.49"
"2017-12-13 17:29:17","5","0.7","0.46"
"2017-12-13 17:30:31","1","0.6","0.49"
"2017-12-13 17:30:33","2","9.7","0.64"
"2017-12-13 17:30:34","3","0.5","0.5"
"2017-12-13 17:30:35","4","0.8","0.4"
"2017-12-13 17:30:36","5","0.6","0.66"
"2017-12-13 17:31:50","1","0.6","0.49"
"2017-12-13 17:31:51","2","9.7","0.46"
"2017-12-13 17:31:52","3","0.6","0.49"
"2017-12-13 17:31:53","4","0.6","0.49"
"2017-12-13 17:31:54","5","0.3","0.46"
"2017-12-13 17:33:08","1","0.5","0.5"
"2017-12-13 17:33:09","2","9.7","0.46"
"2017-12-13 17:33:10","3","0.5","0.5"
"2017-12-13 17:33:11","4","0.8","0.4"
"2017-12-13 17:33:12","5","0.5","0.5"
"2017-12-13 17:34:26","1","0.9","0.54"
"2017-12-13 17:34:27","2","9.8","0.4"
"2017-12-13 17:34:28","3","0.6","0.49"
"2017-12-13 17:34:29","4","0.8","0.4"
"2017-12-13 17:34:30","5","0.6","0.49"
"2017-12-13 17:35:45","1","0.6","0.49"
"2017-12-13 17:35:46","2","9.6","0.49"
"2017-12-13 17:35:47","3","0.7","0.46"
"2017-12-13 17:35:48","4","0.8","0.4"
"2017-12-13 17:35:49","5","0.3","0.46"
"2017-12-13 17:37:03","1","0.9","0.3"
"2017-12-13 17:37:04","2","9.6","0.49"
"2017-12-13 17:37:05","3","0.6","0.49"
"2017-12-13 17:37:06","4","0.4","0.49"
"2017-12-13 17:37:07","5","0.5","0.5"
"2017-12-13 17:38:21","1","0.7","0.46"
"2017-12-13 17:38:22","2","9.9","0.3"
"2017-12-13 17:38:23","3","0.6","0.49"
"2017-12-13 17:38:24","4","0.8","0.4"
"2017-12-13 17:38:25","5","0.4","0.49"
"2017-12-13 17:39:40","1","0.8","0.4"
"2017-12-13 17:39:41","2","9.7","0.46"
"2017-12-13 17:39:42","3","0.6","0.49"
"2017-12-13 17:39:43","4","0.8","0.4"
"2017-12-13 17:39:44","5","0.4","0.49"
"2017-12-13 17:40:58","1","0.7","0.46"
"2017-12-13 17:40:59","2","9.8","0.4"
"2017-12-13 17:41:00","3","0.7","0.46"
"2017-12-13 17:41:01","4","0.5","0.5"
"2017-12-13 17:41:02","5","0.7","0.46"
"2017-12-13 17:42:16","1","0.5","0.5"
"2017-12-13 17:42:17","2","10.0","0.0"
"2017-12-13 17:42:18","3","0.6","0.49"
"2017-12-13 17:42:19","4","0.6","0.49"
"2017-12-13 17:42:20","5","0.6","0.49"
"2017-12-13 17:43:35","1","0.6","0.49"
"2017-12-13 17:43:36","2","9.7","0.46"
"2017-12-13 17:43:37","3","0.9","0.3"
"2017-12-13 17:43:38","4","0.7","0.46"
"2017-12-13 17:43:39","5","0.4","0.49"
"2017-12-13 17:44:53","1","0.7","0.46"
"2017-12-13 17:44:54","2","9.9","0.3"
"2017-12-13 17:44:55","3","0.7","0.46"
"2017-12-13 17:44:56","4","0.5","0.5"
"2017-12-13 17:44:57","5","0.4","0.49"
"2017-12-13 17:46:11","1","0.9","0.3"
"2017-12-13 17:46:12","2","9.8","0.4"
"2017-12-13 17:46:13","3","0.7","0.46"
"2017-12-13 17:46:14","4","0.8","0.4"
"2017-12-13 17:46:15","5","0.4","0.49"
"2017-12-13 17:47:29","1","0.8","0.6"
"2017-12-13 17:47:30","2","10.0","0.45"
"2017-12-13 17:47:31","3","0.8","0.4"
"2017-12-13 17:47:32","4","0.7","0.46"
"2017-12-13 17:47:33","5","0.7","0.64"
"2017-12-13 17:48:48","1","1.0","0.63"
"2017-12-13 17:48:49","2","9.5","0.92"
"2017-12-13 17:48:50","3","0.8","0.4"
"2017-12-13 17:48:51","4","0.7","0.46"
"2017-12-13 17:48:52","5","0.5","0.5"
"2017-12-13 17:50:06","1","0.6","0.49"
"2017-12-13 17:50:07","2","9.8","0.6"
"2017-12-13 17:50:08","3","0.7","0.46"
"2017-12-13 17:50:09","4","0.7","0.46"
"2017-12-13 17:50:10","5","0.6","0.66"
"2017-12-13 17:51:24","1","0.8","0.4"
"2017-12-13 17:51:25","2","10.0","0.0"
"2017-12-13 17:51:26","3","0.6","0.49"
"2017-12-13 17:51:27","4","1.0","0.45"
"2017-12-13 17:51:28","5","0.3","0.46"
"2017-12-13 17:52:43","1","0.7","0.46"
"2017-12-13 17:52:44","2","9.8","0.4"
"2017-12-13 17:52:45","3","0.7","0.46"
"2017-12-13 17:52:46","4","1.0","0.45"
"2017-12-13 17:52:47","5","0.8","0.4"
"2017-12-13 17:54:01","1","0.9","0.54"
"2017-12-13 17:54:02","2","9.8","0.4"
"2017-12-13 17:54:03","3","0.6","0.49"
"2017-12-13 17:54:04","4","1.0","0.45"
"2017-12-13 17:54:05","5","0.5","0.5"
"2017-12-13 17:55:19","1","0.7","0.46"
"2017-12-13 17:55:20","2","9.9","0.3"
"2017-12-13 17:55:21","3","0.6","0.49"
"2017-12-13 17:55:22","4","0.4","0.49"
"2017-12-13 17:55:23","5","0.4","0.49"
"2017-12-13 17:56:38","1","0.7","0.46"
