"Datetime","probe","T","Err"
"2017-12-13 17:13:46","1","0.1","0.3"
"2017-12-13 17:13:47","2","0.6","0.49"
"2017-12-13 17:13:48","3","0.4","0.49"
"2017-12-13 17:13:49","4","-0.1","0.3"
"2017-12-13 17:13:50","5","0.4","0.49"
"2017-12-13 17:15:04","1","0.3","0.46"
"2017-12-13 17:15:05","2","0.8","0.4"
"2017-12-13 17:15:06","3","0.6","0.49"
"2017-12-13 17:15:07","4","-0.2","0.4"
"2017-12-13 17:15:08","5","0.5","0.5"
"2017-12-13 17:16:22","1","0.2","0.4"
"2017-12-13 17:16:23","2","0.7","0.46"
"2017-12-13 17:16:24","3","0.5","0.5"
"2017-12-13 17:16:25","4","0.0","0.0"
"2017-12-13 17:16:26","5","0.7","0.46"
"2017-12-13 17:17:41","1","0.4","0.49"
"2017-12-13 17:17:42","2","0.7","0.46"
"2017-12-13 17:17:43","3","0.4","0.49"
"2017-12-13 17:17:44","4","0.0","0.0"
"2017-12-13 17:17:45","5","0.7","0.64"
"2017-12-13 17:18:59","1","0.4","0.49"
"2017-12-13 17:19:00","2","0.7","0.46"
"2017-12-13 17:19:01","3","0.8","0.4"
"2017-12-13 17:19:02","4","0.0","0.0"
"2017-12-13 17:19:03","5","0.7","0.46"
"2017-12-13 17:20:17","1","0.4","0.49"
"2017-12-13 17:20:18","2","0.9","0.3"
"2017-12-13 17:20:19","3","0.6","0.49"
"2017-12-13 17:20:20","4","-0.1","0.3"
"2017-12-13 17:20:21","5","0.6","0.66"
"2017-12-13 17:21:35","1","0.0","0.0"
"2017-12-13 17:21:36","2","0.7","0.46"
"2017-12-13 17:21:38","3","0.5","0.5"
"2017-12-13 17:21:39","4","0.0","0.0"
"2017-12-13 17:21:40","5","0.7","0.46"
"2017-12-13 17:22:54","1","0.4","0.49"
"2017-12-13 17:22:55","2","0.9","0.3"
"2017-12-13 17:22:56","3","0.8","0.4"
"2017-12-13 17:22:57","4","0.0","0.0"
"2017-12-13 17:22:58","5","0.6","0.49"
"2017-12-13 17:24:12","1","0.3","0.46"
"2017-12-13 17:24:13","2","0.5","0.5"
"2017-12-13 17:24:14","3","0.4","0.49"
"2017-12-13 17:24:15","4","0.0","0.0"
"2017-12-13 17:24:16","5","0.5","0.5"
"2017-12-13 17:25:30","1","0.4","0.49"
"2017-12-13 17:25:31","2","0.6","0.49"
"2017-12-13 17:25:32","3","0.8","0.4"
"2017-12-13 17:25:33","4","0.0","0.0"
"2017-12-13 17:25:34","5","0.6","0.49"
"2017-12-13 17:26:49","1","0.2","0.4"
"2017-12-13 17:26:50","2","0.8","0.4"
"2017-12-13 17:26:51","3","0.5","0.5"
"2017-12-13 17:26:52","4","0.0","0.0"
"2017-12-13 17:26:53","5","0.7","0.64"
"2017-12-13 17:28:07","1","0.4","0.49"
"2017-12-13 17:28:08","2","0.7","0.46"
"2017-12-13 17:28:09","3","0.5","0.5"
"2017-12-13 17:28:10","4","-0.1","0.3"
"2017-12-13 17:28:11","5","0.6","0.49"
"2017-12-13 17:29:25","1","0.2","0.4"
"2017-12-13 17:29:26","2","0.9","0.3"
"2017-12-13 17:29:27","3","0.8","0.6"
"2017-12-13 17:29:28","4","-0.1","0.3"
"2017-12-13 17:29:29","5","0.6","0.49"
"2017-12-13 17:30:44","1","0.5","0.5"
"2017-12-13 17:30:45","2","0.8","0.4"
"2017-12-13 17:30:46","3","0.7","0.46"
"2017-12-13 17:30:47","4","-0.1","0.3"
"2017-12-13 17:30:48","5","0.8","0.6"
"2017-12-13 17:32:02","1","0.3","0.46"
"2017-12-13 17:32:03","2","0.7","0.46"
"2017-12-13 17:32:04","3","0.7","0.46"
"2017-12-13 17:32:05","4","0.0","0.0"
"2017-12-13 17:32:06","5","0.6","0.49"
"2017-12-13 17:33:20","1","0.4","0.49"
"2017-12-13 17:33:21","2","0.8","0.4"
"2017-12-13 17:33:22","3","0.6","0.49"
"2017-12-13 17:33:23","4","-0.2","0.4"
"2017-12-13 17:33:24","5","0.8","0.6"
"2017-12-13 17:34:38","1","0.4","0.49"
"2017-12-13 17:34:40","2","0.6","0.49"
"2017-12-13 17:34:41","3","0.7","0.46"
"2017-12-13 17:34:42","4","-0.1","0.3"
"2017-12-13 17:34:43","5","0.5","0.5"
"2017-12-13 17:35:57","1","0.4","0.49"
"2017-12-13 17:35:58","2","0.7","0.46"
"2017-12-13 17:35:59","3","0.7","0.46"
"2017-12-13 17:36:00","4","0.0","0.0"
"2017-12-13 17:36:01","5","0.8","0.4"
"2017-12-13 17:37:15","1","0.7","0.46"
"2017-12-13 17:37:16","2","1.0","0.0"
"2017-12-13 17:37:17","3","0.6","0.49"
"2017-12-13 17:37:18","4","0.0","0.0"
"2017-12-13 17:37:19","5","0.8","0.4"
"2017-12-13 17:38:33","1","0.3","0.46"
"2017-12-13 17:38:34","2","1.0","0.0"
"2017-12-13 17:38:35","3","0.7","0.46"
"2017-12-13 17:38:36","4","0.0","0.0"
"2017-12-13 17:38:37","5","0.6","0.49"
"2017-12-13 17:39:52","1","0.4","0.49"
"2017-12-13 17:39:53","2","0.9","0.3"
"2017-12-13 17:39:54","3","0.7","0.46"
"2017-12-13 17:39:55","4","0.0","0.0"
"2017-12-13 17:39:56","5","0.7","0.46"
"2017-12-13 17:41:10","1","0.5","0.5"
"2017-12-13 17:41:11","2","0.8","0.6"
"2017-12-13 17:41:12","3","1.1","0.3"
"2017-12-13 17:41:13","4","-0.1","0.3"
"2017-12-13 17:41:14","5","0.7","0.78"
"2017-12-13 17:42:28","1","0.4","0.49"
"2017-12-13 17:42:29","2","0.8","0.4"
"2017-12-13 17:42:30","3","0.6","0.49"
"2017-12-13 17:42:31","4","-0.1","0.3"
"2017-12-13 17:42:32","5","0.9","0.83"
"2017-12-13 17:43:47","1","0.3","0.46"
"2017-12-13 17:43:48","2","0.8","0.4"
"2017-12-13 17:43:49","3","1.0","0.0"
"2017-12-13 17:43:50","4","-0.1","0.3"
"2017-12-13 17:43:51","5","0.9","0.3"
"2017-12-13 17:45:05","1","0.5","0.5"
"2017-12-13 17:45:06","2","0.7","0.46"
"2017-12-13 17:45:07","3","0.7","0.46"
"2017-12-13 17:45:08","4","0.0","0.0"
"2017-12-13 17:45:09","5","0.8","0.4"
"2017-12-13 17:46:23","1","0.3","0.46"
"2017-12-13 17:46:24","2","0.9","0.3"
"2017-12-13 17:46:25","3","0.7","0.46"
"2017-12-13 17:46:26","4","-0.1","0.3"
"2017-12-13 17:46:27","5","0.8","0.4"
"2017-12-13 17:47:42","1","0.6","0.49"
"2017-12-13 17:47:43","2","1.0","0.0"
"2017-12-13 17:47:44","3","0.7","0.46"
"2017-12-13 17:47:45","4","0.0","0.0"
"2017-12-13 17:47:46","5","1.0","0.45"
"2017-12-13 17:49:00","1","0.3","0.46"
"2017-12-13 17:49:01","2","0.8","0.4"
"2017-12-13 17:49:02","3","1.0","0.0"
"2017-12-13 17:49:03","4","-0.1","0.3"
"2017-12-13 17:49:04","5","0.9","0.3"
"2017-12-13 17:50:18","1","0.4","0.49"
"2017-12-13 17:50:19","2","1.0","0.45"
"2017-12-13 17:50:20","3","0.8","0.4"
"2017-12-13 17:50:21","4","0.0","0.0"
"2017-12-13 17:50:22","5","0.9","0.54"
"2017-12-13 17:51:36","1","0.4","0.49"
"2017-12-13 17:51:37","2","0.9","0.3"
"2017-12-13 17:51:38","3","0.8","0.4"
"2017-12-13 17:51:39","4","0.0","0.0"
"2017-12-13 17:51:40","5","0.9","0.54"
"2017-12-13 17:52:55","1","0.6","0.49"
"2017-12-13 17:52:56","2","0.6","0.49"
"2017-12-13 17:52:57","3","0.5","0.5"
"2017-12-13 17:52:58","4","0.0","0.0"
"2017-12-13 17:52:59","5","0.9","0.3"
"2017-12-13 17:54:13","1","0.3","0.46"
"2017-12-13 17:54:14","2","0.9","0.3"
"2017-12-13 17:54:15","3","0.5","0.5"
"2017-12-13 17:54:16","4","0.0","0.0"
"2017-12-13 17:54:17","5","1.0","0.0"
"2017-12-13 17:55:31","1","0.2","0.4"
"2017-12-13 17:55:32","2","1.1","0.7"
"2017-12-13 17:55:33","3","0.8","0.6"
"2017-12-13 17:55:34","4","0.0","0.0"
"2017-12-13 17:55:35","5","0.9","0.3"
"2017-12-13 17:56:50","1","0.6","0.49"
"2017-12-13 17:56:51","2","1.1","0.3"
"2017-12-13 17:56:52","3","0.9","0.3"
"2017-12-13 17:56:53","4","-0.1","0.3"
"2017-12-13 17:56:54","5","1.0","0.77"
"2017-12-13 17:58:08","1","0.6","0.49"
"2017-12-13 17:58:09","2","1.0","0.45"
"2017-12-13 17:58:10","3","0.7","0.46"
"2017-12-13 17:58:11","4","0.0","0.0"
"2017-12-13 17:58:12","5","0.8","0.4"
"2017-12-13 17:59:26","1","0.3","0.46"
"2017-12-13 17:59:27","2","0.7","0.46"
"2017-12-13 17:59:28","3","0.5","0.5"
"2017-12-13 17:59:29","4","-0.1","0.3"
"2017-12-13 17:59:30","5","1.0","0.45"
"2017-12-13 18:00:45","1","0.5","0.5"
"2017-12-13 18:00:46","2","1.0","0.0"
"2017-12-13 18:00:47","3","0.9","0.54"
"2017-12-13 18:00:48","4","0.0","0.0"
"2017-12-13 18:00:49","5","0.9","0.3"
"2017-12-13 18:02:03","1","0.3","0.46"
"2017-12-13 18:02:04","2","1.0","0.0"
"2017-12-13 18:02:05","3","1.1","0.3"
"2017-12-13 18:02:06","4","0.0","0.0"
"2017-12-13 18:02:07","5","0.9","0.3"
"2017-12-13 18:03:21","1","0.5","0.5"
"2017-12-13 18:03:22","2","0.9","0.3"
"2017-12-13 18:03:23","3","0.6","0.49"
"2017-12-13 18:03:24","4","0.0","0.0"
"2017-12-13 18:03:25","5","0.9","0.54"
"2017-12-13 18:04:40","1","0.7","0.46"
"2017-12-13 18:04:41","2","1.1","0.54"
"2017-12-13 18:04:42","3","0.7","0.46"
"2017-12-13 18:04:43","4","0.0","0.0"
"2017-12-13 18:04:44","5","0.8","0.6"
"2017-12-13 18:05:58","1","0.7","0.46"
"2017-12-13 18:05:59","2","1.0","0.0"
"2017-12-13 18:06:00","3","0.9","0.54"
"2017-12-13 18:06:01","4","0.0","0.0"
"2017-12-13 18:06:02","5","1.1","0.3"
"2017-12-13 18:07:16","1","0.6","0.49"
"2017-12-13 18:07:17","2","1.0","0.0"
"2017-12-13 18:07:18","3","0.8","0.6"
"2017-12-13 18:07:19","4","0.0","0.0"
"2017-12-13 18:07:20","5","1.0","0.45"
"2017-12-13 18:08:35","1","0.7","0.46"
"2017-12-13 18:08:36","2","1.0","0.63"
"2017-12-13 18:08:37","3","0.9","0.3"
"2017-12-13 18:08:38","4","0.0","0.0"
"2017-12-13 18:08:39","5","0.9","0.3"
"2017-12-13 18:09:53","1","0.7","0.46"
"2017-12-13 18:09:54","2","0.8","0.4"
"2017-12-13 18:09:55","3","0.8","0.4"
"2017-12-13 18:09:56","4","0.0","0.0"
"2017-12-13 18:09:57","5","0.9","0.54"
"2017-12-13 18:11:11","1","0.5","0.5"
"2017-12-13 18:11:12","2","0.9","0.3"
"2017-12-13 18:11:13","3","1.1","0.54"
"2017-12-13 18:11:14","4","0.0","0.0"
"2017-12-13 18:11:15","5","0.8","0.75"
"2017-12-13 18:12:30","1","0.7","0.46"
"2017-12-13 18:12:31","2","0.9","0.3"
"2017-12-13 18:12:32","3","0.9","0.3"
"2017-12-13 18:12:33","4","0.0","0.0"
"2017-12-13 18:12:34","5","1.1","0.54"
"2017-12-13 18:13:48","1","0.6","0.49"
"2017-12-13 18:13:49","2","1.0","0.0"
"2017-12-13 18:13:50","3","1.2","0.4"
"2017-12-13 18:13:51","4","-0.2","0.4"
"2017-12-13 18:13:52","5","0.8","0.4"
"2017-12-13 18:15:06","1","0.4","0.49"
"2017-12-13 18:15:07","2","1.2","0.4"
"2017-12-13 18:15:08","3","0.8","0.4"
"2017-12-13 18:15:09","4","0.0","0.0"
"2017-12-13 18:15:10","5","1.1","0.54"
"2017-12-13 18:16:25","1","0.4","0.49"
"2017-12-13 18:16:26","2","0.9","0.54"
"2017-12-13 18:16:27","3","0.8","0.4"
"2017-12-13 18:16:28","4","-0.1","0.3"
