"Datetime","probe","T","Err"
"2017-12-13 17:51:18","1","0.0","0.0"
"2017-12-13 17:51:19","2","0.0","0.0"
"2017-12-13 17:51:20","3","1.9","0.3"
"2017-12-13 17:51:21","4","7.7","0.46"
"2017-12-13 17:51:22","5","3.0","0.0"
"2017-12-13 17:52:37","1","0.1","0.3"
"2017-12-13 17:52:38","2","0.0","0.0"
"2017-12-13 17:52:39","3","1.4","0.49"
"2017-12-13 17:52:40","4","5.1","0.54"
"2017-12-13 17:52:41","5","1.7","0.46"
"2017-12-13 17:53:55","1","0.3","0.46"
"2017-12-13 17:53:56","2","0.0","0.0"
"2017-12-13 17:53:57","3","0.8","0.4"
"2017-12-13 17:53:58","4","4.0","0.0"
"2017-12-13 17:53:59","5","1.1","0.3"
"2017-12-13 17:55:13","1","0.8","0.4"
"2017-12-13 17:55:14","2","0.0","0.0"
"2017-12-13 17:55:15","3","0.8","0.4"
"2017-12-13 17:55:16","4","3.8","0.4"
"2017-12-13 17:55:17","5","0.8","0.6"
"2017-12-13 17:56:32","1","1.0","0.45"
"2017-12-13 17:56:33","2","0.0","0.0"
"2017-12-13 17:56:34","3","0.7","0.46"
"2017-12-13 17:56:35","4","3.1","0.3"
"2017-12-13 17:56:36","5","0.9","0.54"
"2017-12-13 17:57:50","1","1.1","0.54"
"2017-12-13 17:57:51","2","0.0","0.0"
"2017-12-13 17:57:52","3","0.3","0.46"
"2017-12-13 17:57:53","4","3.2","0.4"
"2017-12-13 17:57:54","5","0.7","0.46"
"2017-12-13 17:59:08","1","1.1","0.3"
"2017-12-13 17:59:09","2","0.0","0.0"
"2017-12-13 17:59:10","3","0.5","0.5"
"2017-12-13 17:59:11","4","3.4","0.49"
"2017-12-13 17:59:12","5","0.9","0.54"
"2017-12-13 18:00:27","1","1.1","0.3"
"2017-12-13 18:00:28","2","-0.1","0.3"
"2017-12-13 18:00:29","3","0.6","0.49"
"2017-12-13 18:00:30","4","3.4","0.49"
"2017-12-13 18:00:31","5","0.8","0.6"
"2017-12-13 18:01:45","1","1.1","0.3"
"2017-12-13 18:01:46","2","-0.1","0.3"
"2017-12-13 18:01:47","3","0.7","0.46"
"2017-12-13 18:01:48","4","3.4","0.49"
"2017-12-13 18:01:49","5","0.9","0.54"
"2017-12-13 18:03:03","1","1.4","0.49"
"2017-12-13 18:03:04","2","0.0","0.0"
"2017-12-13 18:03:05","3","0.5","0.5"
"2017-12-13 18:03:06","4","3.5","0.5"
"2017-12-13 18:03:07","5","0.8","0.4"
"2017-12-13 18:04:21","1","1.5","0.5"
"2017-12-13 18:04:23","2","0.0","0.0"
"2017-12-13 18:04:24","3","0.8","0.4"
"2017-12-13 18:04:25","4","3.4","0.49"
"2017-12-13 18:04:26","5","0.7","0.46"
"2017-12-13 18:05:40","1","1.6","0.49"
"2017-12-13 18:05:41","2","0.0","0.0"
"2017-12-13 18:05:42","3","0.8","0.4"
"2017-12-13 18:05:43","4","3.4","0.49"
"2017-12-13 18:05:44","5","0.9","0.54"
"2017-12-13 18:06:58","1","1.4","0.49"
"2017-12-13 18:06:59","2","0.0","0.0"
"2017-12-13 18:07:00","3","0.7","0.46"
"2017-12-13 18:07:01","4","3.2","0.4"
"2017-12-13 18:07:02","5","1.0","0.45"
"2017-12-13 18:08:16","1","1.5","0.5"
"2017-12-13 18:08:17","2","0.0","0.0"
"2017-12-13 18:08:18","3","0.8","0.4"
"2017-12-13 18:08:19","4","3.0","0.45"
"2017-12-13 18:08:20","5","1.1","0.3"
"2017-12-13 18:09:35","1","1.4","0.49"
"2017-12-13 18:09:36","2","0.0","0.0"
"2017-12-13 18:09:37","3","0.7","0.46"
"2017-12-13 18:09:38","4","3.3","0.46"
"2017-12-13 18:09:39","5","0.9","0.3"
"2017-12-13 18:10:53","1","1.3","0.46"
"2017-12-13 18:10:54","2","0.0","0.0"
"2017-12-13 18:10:55","3","0.8","0.6"
"2017-12-13 18:10:56","4","3.3","0.46"
"2017-12-13 18:10:57","5","0.8","0.4"
"2017-12-13 18:12:11","1","1.6","0.49"
"2017-12-13 18:12:12","2","-0.1","0.3"
"2017-12-13 18:12:13","3","0.7","0.46"
