"Datetime","probe","T","Err"
"2017-12-13 17:45:13","3","-7.6","0.66"
"2017-12-13 17:45:14","4","-8.0","0.45"
"2017-12-13 17:45:15","5","-7.9","0.3"
"2017-12-13 17:46:29","1","-8.1","0.7"
"2017-12-13 17:46:30","2","-7.9","0.7"
"2017-12-13 17:46:31","3","-7.9","0.54"
"2017-12-13 17:46:32","4","-7.8","0.4"
"2017-12-13 17:46:33","5","-8.2","0.4"
"2017-12-13 17:47:48","1","-8.0","0.45"
"2017-12-13 17:47:49","2","-8.1","1.04"
"2017-12-13 17:47:50","3","-7.6","0.49"
"2017-12-13 17:47:51","4","-7.7","0.46"
"2017-12-13 17:47:52","5","-8.2","0.4"
"2017-12-13 17:49:06","1","-8.0","0.45"
"2017-12-13 17:49:07","2","-8.0","0.45"
"2017-12-13 17:49:08","3","-8.1","0.54"
"2017-12-13 17:49:09","4","-8.1","0.54"
"2017-12-13 17:49:10","5","-7.6","0.49"
"2017-12-13 17:50:24","1","-7.7","0.46"
"2017-12-13 17:50:25","2","-8.0","0.63"
"2017-12-13 17:50:26","3","-7.8","0.75"
"2017-12-13 17:50:27","4","-7.9","0.54"
"2017-12-13 17:50:28","5","-7.9","0.3"
"2017-12-13 17:51:42","1","-7.7","0.46"
"2017-12-13 17:51:43","2","-8.3","0.46"
"2017-12-13 17:51:44","3","-7.8","0.6"
"2017-12-13 17:51:46","4","-7.7","0.46"
"2017-12-13 17:51:47","5","-8.1","0.7"
"2017-12-13 17:53:01","1","-7.8","0.6"
"2017-12-13 17:53:02","2","-7.8","0.4"
"2017-12-13 17:53:03","3","-7.8","0.4"
"2017-12-13 17:53:04","4","-7.8","0.6"
"2017-12-13 17:53:05","5","-7.6","0.49"
"2017-12-13 17:54:19","1","-8.0","0.45"
"2017-12-13 17:54:20","2","-7.8","0.4"
"2017-12-13 17:54:21","3","-7.9","0.54"
"2017-12-13 17:54:22","4","-7.8","0.6"
"2017-12-13 17:54:23","5","-7.6","0.66"
"2017-12-13 17:55:37","1","-8.1","0.54"
"2017-12-13 17:55:38","2","-7.9","0.54"
"2017-12-13 17:55:39","3","-7.8","0.6"
"2017-12-13 17:55:40","4","-8.0","0.0"
"2017-12-13 17:55:41","5","-7.6","0.49"
"2017-12-13 17:56:56","1","-7.8","0.6"
"2017-12-13 17:56:57","2","-8.4","0.49"
"2017-12-13 17:56:58","3","-7.8","0.4"
"2017-12-13 17:56:59","4","-8.1","0.54"
"2017-12-13 17:57:00","5","-7.9","0.54"
"2017-12-13 17:58:14","1","-7.5","0.5"
"2017-12-13 17:58:15","2","-7.7","0.64"
"2017-12-13 17:58:16","3","-8.0","0.0"
"2017-12-13 17:58:17","4","-7.9","0.83"
"2017-12-13 17:58:18","5","-8.1","0.83"
"2017-12-13 17:59:32","1","-7.9","0.7"
"2017-12-13 17:59:33","2","-7.9","0.3"
"2017-12-13 17:59:34","3","-8.0","0.0"
"2017-12-13 17:59:35","4","-7.8","0.4"
"2017-12-13 17:59:36","5","-8.1","0.3"
"2017-12-13 18:00:51","1","-7.5","0.5"
"2017-12-13 18:00:52","2","-8.0","0.63"
"2017-12-13 18:00:53","3","-7.7","0.46"
"2017-12-13 18:00:54","4","-7.9","0.54"
"2017-12-13 18:00:55","5","-8.0","0.45"
"2017-12-13 18:02:09","1","-7.8","0.4"
"2017-12-13 18:02:10","2","-7.7","0.46"
"2017-12-13 18:02:11","3","-7.8","0.75"
"2017-12-13 18:02:12","4","-7.6","0.49"
"2017-12-13 18:02:13","5","-7.8","0.4"
"2017-12-13 18:03:27","1","-7.7","0.46"
"2017-12-13 18:03:28","2","-7.8","0.4"
"2017-12-13 18:03:29","3","-7.9","0.54"
"2017-12-13 18:03:30","4","-8.2","0.98"
"2017-12-13 18:03:31","5","-7.4","0.49"
"2017-12-13 18:04:46","1","-7.9","0.54"
"2017-12-13 18:04:47","2","-8.0","0.63"
"2017-12-13 18:04:48","3","-7.9","0.3"
"2017-12-13 18:04:49","4","-7.8","0.4"
"2017-12-13 18:04:50","5","-8.0","0.45"
"2017-12-13 18:06:04","1","-7.7","0.64"
"2017-12-13 18:06:05","2","-7.9","0.54"
"2017-12-13 18:06:06","3","-7.9","0.54"
