"Datetime","probe","T","Err"
"2017-12-13 17:13:40","1","8.4","0.49"
"2017-12-13 17:13:41","2","22.5","0.5"
"2017-12-13 17:13:42","3","1.2","0.4"
"2017-12-13 17:13:43","4","0.7","0.64"
"2017-12-13 17:13:44","5","3.0","0.0"
"2017-12-13 17:14:58","1","8.7","0.46"
"2017-12-13 17:14:59","2","21.0","0.63"
"2017-12-13 17:15:00","3","1.4","0.49"
"2017-12-13 17:15:01","4","0.9","0.54"
"2017-12-13 17:15:02","5","2.9","0.3"
"2017-12-13 17:16:16","1","8.4","0.49"
"2017-12-13 17:16:17","2","21.5","0.5"
"2017-12-13 17:16:18","3","1.2","0.4"
"2017-12-13 17:16:19","4","0.7","0.46"
"2017-12-13 17:16:20","5","2.8","0.4"
"2017-12-13 17:17:35","1","8.5","0.5"
"2017-12-13 17:17:36","2","20.0","0.0"
"2017-12-13 17:17:37","3","1.2","0.4"
"2017-12-13 17:17:38","4","0.9","0.3"
"2017-12-13 17:17:39","5","3.0","0.45"
"2017-12-13 17:18:53","1","8.5","0.5"
"2017-12-13 17:18:54","2","19.5","0.5"
"2017-12-13 17:18:55","3","1.2","0.4"
"2017-12-13 17:18:56","4","0.7","0.64"
"2017-12-13 17:18:57","5","3.0","0.45"
"2017-12-13 17:20:11","1","8.4","0.49"
"2017-12-13 17:20:12","2","18.0","0.0"
"2017-12-13 17:20:13","3","1.3","0.46"
"2017-12-13 17:20:14","4","1.1","0.3"
"2017-12-13 17:20:15","5","2.6","0.49"
"2017-12-13 17:21:29","1","8.3","0.46"
"2017-12-13 17:21:30","2","15.8","0.4"
"2017-12-13 17:21:31","3","1.2","0.4"
"2017-12-13 17:21:32","4","0.7","0.64"
"2017-12-13 17:21:33","5","3.0","0.63"
"2017-12-13 17:22:48","1","8.3","0.46"
"2017-12-13 17:22:49","2","17.4","0.49"
"2017-12-13 17:22:50","3","1.1","0.3"
"2017-12-13 17:22:51","4","0.8","0.6"
"2017-12-13 17:22:52","5","2.8","0.4"
"2017-12-13 17:24:06","1","8.6","0.49"
"2017-12-13 17:24:07","2","16.2","0.4"
"2017-12-13 17:24:08","3","1.4","0.49"
"2017-12-13 17:24:09","4","0.6","0.66"
"2017-12-13 17:24:10","5","3.1","0.54"
"2017-12-13 17:25:24","1","8.7","0.46"
"2017-12-13 17:25:25","2","3.8","0.87"
"2017-12-13 17:25:26","3","1.2","0.4"
"2017-12-13 17:25:27","4","0.9","0.54"
"2017-12-13 17:25:28","5","2.9","0.3"
"2017-12-13 17:26:43","1","8.6","0.49"
"2017-12-13 17:26:44","2","5.9","0.94"
"2017-12-13 17:26:45","3","1.4","0.49"
"2017-12-13 17:26:46","4","0.8","0.4"
"2017-12-13 17:26:47","5","3.1","0.54"
"2017-12-13 17:28:01","1","8.4","0.49"
"2017-12-13 17:28:02","2","8.6","0.66"
"2017-12-13 17:28:03","3","1.0","0.0"
"2017-12-13 17:28:04","4","1.0","0.0"
"2017-12-13 17:28:05","5","2.9","0.3"
"2017-12-13 17:29:19","1","8.7","0.46"
"2017-12-13 17:29:20","2","7.4","0.49"
"2017-12-13 17:29:21","3","1.1","0.54"
"2017-12-13 17:29:22","4","0.6","0.49"
"2017-12-13 17:29:23","5","3.0","0.63"
"2017-12-13 17:30:38","1","8.7","0.46"
"2017-12-13 17:30:39","2","12.7","0.46"
"2017-12-13 17:30:40","3","1.3","0.46"
"2017-12-13 17:30:41","4","0.9","0.54"
"2017-12-13 17:30:42","5","2.8","0.4"
"2017-12-13 17:31:56","1","8.6","0.49"
"2017-12-13 17:31:57","2","2.3","0.46"
"2017-12-13 17:31:58","3","1.3","0.46"
"2017-12-13 17:31:59","4","0.6","0.49"
"2017-12-13 17:32:00","5","2.9","0.54"
"2017-12-13 17:33:14","1","8.5","0.5"
"2017-12-13 17:33:15","2","2.5","0.5"
"2017-12-13 17:33:16","3","1.1","0.3"
"2017-12-13 17:33:17","4","0.8","0.4"
"2017-12-13 17:33:18","5","2.7","0.46"
"2017-12-13 17:34:32","1","8.4","0.49"
"2017-12-13 17:34:33","2","1.3","0.46"
"2017-12-13 17:34:34","3","1.3","0.46"
"2017-12-13 17:34:35","4","0.8","0.4"
"2017-12-13 17:34:36","5","2.8","0.4"
"2017-12-13 17:35:51","1","8.3","0.46"
