"2017-11-28 12:36:31.895716","0","0","4.6","0.66"
"2017-11-28 12:36:33.911241","0","2","0.3","0.46"
"2017-11-28 12:36:34.922822","0","3","0.3","0.46"
"2017-11-28 12:36:35.930430","0","4","3.3","0.64"
"2017-11-28 12:37:14.100664","7","0","24.4","0.49"
"2017-11-28 12:37:15.108456","7","1","24.4","0.49"
"2017-11-28 12:37:16.119670","7","2","24.1","0.3"
"2017-11-28 12:37:17.159533","7","3","24.3","0.46"
"2017-11-28 12:37:18.196225","7","4","24.2","0.4"
"2017-11-28 12:37:50.149416","0","0","4.7","0.46"
"2017-11-28 12:37:52.164421","0","2","0.0","0.45"
"2017-11-28 12:37:53.172219","0","3","0.6","0.49"
"2017-11-28 12:37:54.183760","0","4","3.4","0.66"
"2017-11-28 12:37:56.190900","1","0","9.1","0.3"
"2017-11-28 12:37:57.202145","1","1","9.4","0.49"
"2017-11-28 12:37:58.209783","1","2","9.6","0.49"
"2017-11-28 12:37:59.217752","1","3","8.9","0.3"
"2017-11-28 12:38:00.229355","1","4","9.5","0.5"
"2017-11-28 12:38:32.374617","7","0","24.5","0.5"
