"Datetime","DP_T","DP1","DP2","DP3","DP4","P_A","T_T","T1","T2","T3","T4","T_A"
"2017-12-12 13:33:38.850151","-252.67","-252.67","-136.94","-136.94","-368.40","-47470.56","19.56","19.87","19.88","19.70","19.79","19.70"
"2017-12-12 13:33:43.875854","-252.67","-252.67","-136.94","-136.94","-368.40","-47354.83","19.56","19.89","19.91","19.70","19.79","19.70"
"2017-12-12 13:33:48.905304","-252.67","-252.67","-136.94","-136.94","-368.40","-47354.83","19.58","19.87","19.89","19.70","19.79","19.70"
"2017-12-12 13:33:53.934840","-252.67","-252.67","-136.94","-136.94","-368.40","-47470.56","19.54","19.88","19.91","19.70","19.79","19.69"
"2017-12-12 13:33:58.960347","-252.67","-252.67","-252.67","-136.94","-368.40","-47470.56","19.56","19.87","19.87","19.70","19.79","19.70"
"2017-12-12 13:34:03.989831","-252.67","-252.67","-136.94","-136.94","-368.40","-47354.83","19.57","19.89","19.91","19.70","19.79","19.71"
"2017-12-12 13:34:09.019503","-368.40","-252.67","-252.67","-136.94","-368.40","-47354.83","19.54","19.87","19.91","19.70","19.79","19.69"
"2017-12-12 13:34:14.049014","-368.40","-252.67","-252.67","-136.94","-368.40","-47470.56","19.56","19.87","19.89","19.70","19.79","19.70"
"2017-12-12 13:34:19.078423","-252.67","-252.67","-136.94","-136.94","-368.40","-47354.83","19.54","19.87","19.89","19.69","19.79","19.68"
