"Datetime","DP_T","DP1","DP2","DP3","DP4","P_A","T_T","T1","T2","T3","T4","TA"
"2017-12-12 13:29:24.210761","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
"2017-12-12 13:29:29.240094","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
"2017-12-12 13:29:34.269612","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
"2017-12-12 13:29:39.295390","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
"2017-12-12 13:29:44.324771","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
"2017-12-12 13:29:49.350521","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
"2017-12-12 13:29:54.379803","DP_1=","DP_2=","DP_3=","DP_4=","P_A=","Temp_T=","Temp_1=","Temp_2=","Temp_3=","Temp_4=","Temp_A=","Nombre_Mesure=8"
