"Datetime"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"
"2017-12-13 14:38:29"	"0"	"0"	"0"	"0"	"0"
"2017-12-13 14:39:24"	"0"	"0"	"0"	"0"	"0"
"2017-12-13 14:40:20"	"0"	"0.007257253857462657"	"0"	"0"	"0"
